show_id,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
s2013,s7088,s2157,s1598,s463,s5621
s2014,s4123,s5608,s7863,s7537,s3694
s2016,s5325,s8563,s4539,s7970,s1968
s2017,s2019,s2018,s8109,s7451,s6315
s2018,s2019,s2017,s7451,s7195,s2327
s2019,s2018,s2017,s7451,s6507,s2327
s2020,s2375,s7187,s526,s2324,s4844
s2021,s655,s5329,s6967,s7582,s6755
s2022,s8420,s1555,s1308,s4244,s4651
s2023,s5567,s7148,s5693,s8498,s7466
s2024,s5772,s2626,s7940,s2833,s2149
s2025,s5531,s1110,s1732,s8728,s503
s2026,s8646,s429,s3199,s2074,s1238
s2027,s1778,s6229,s413,s7281,s3179
s2028,s1495,s7748,s4312,s3859,s5808
s2029,s7388,s1195,s3204,s4627,s2782
s2030,s5227,s6955,s1715,s1368,s6730
s2031,s5264,s3188,s6712,s4147,s1500
s2032,s5618,s6150,s6557,s6992,s871
s2033,s4228,s897,s1638,s6715,s281
s2034,s3425,s7257,s444,s7251,s2309
s2035,s4850,s886,s8301,s6968,s7703
s2036,s8049,s4944,s5551,s3985,s2244
s2037,s5318,s6878,s2664,s8277,s5420
s2038,s2581,s5985,s8789,s2742,s1716
s2039,s1008,s395,s2132,s4760,s8713
s2040,s8511,s4869,s755,s5624,s3812
s2041,s3775,s377,s4653,s4652,s6077
s2042,s6094,s8129,s4002,s1956,s1838
s2043,s3841,s3751,s7382,s6301,s2279
s2044,s247,s6143,s4153,s4004,s5513
s2045,s3328,s553,s1000,s6689,s7410
s2046,s7278,s1158,s5412,s2124,s1527
s2047,s1732,s1496,s822,s1095,s5531
s2048,s3407,s3173,s3944,s1581,s6235
s2049,s496,s712,s8400,s2023,s1586
s2050,s6108,s1186,s3074,s1688,s2453
s2051,s3592,s4428,s3479,s8618,s3733
s2052,s7144,s3153,s4915,s6785,s108
s2053,s5904,s6824,s5549,s7811,s2592
s2054,s3066,s4468,s7245,s1770,s2193
s2055,s4085,s1980,s5800,s6372,s4377
s2056,s2848,s7686,s1977,s488,s7703
s2057,s1362,s4814,s6891,s8788,s122
s2058,s1491,s4244,s5110,s3437,s2155
s2059,s2096,s241,s3118,s8756,s8766
s2060,s4205,s8355,s1690,s1168,s1773
s2061,s5388,s7792,s5533,s2235,s4089
s2062,s6243,s6239,s6238,s6237,s131
s2063,s2122,s644,s8276,s5778,s6557
s2064,s1297,s5604,s4640,s1010,s4489
s2065,s3791,s8370,s8497,s3300,s4316
s2066,s2176,s3681,s6762,s7019,s5529
s2067,s1908,s3909,s2551,s3318,s3817
s2068,s2379,s2255,s6535,s1179,s2638
s2069,s4787,s5560,s2169,s4300,s5736
s2070,s189,s1330,s633,s687,s8111
s2071,s3824,s7683,s36,s1433,s3048
s2072,s5064,s5424,s4138,s2903,s2764
s2074,s5664,s7145,s5467,s6290,s25
s2075,s4152,s4565,s702,s286,s5119
s2076,s6232,s7808,s4558,s7562,s8594
s2077,s1688,s164,s5665,s3181,s7557
s2078,s1783,s8390,s6215,s355,s8570
s2079,s6942,s1372,s6190,s8460,s2029
s2080,s2004,s6568,s821,s5552,s6081
s2081,s2596,s2594,s2595,s1102,s5189
s2082,s4833,s3554,s7549,s5641,s3509
s2083,s5782,s1358,s8521,s8022,s2166
s2084,s4879,s247,s4662,s3649,s1511
s2085,s7269,s105,s1816,s4225,s4976
s2086,s6532,s791,s3176,s2094,s3728
s2087,s1046,s7376,s8427,s7863,s4622
s2088,s6377,s4092,s6653,s319,s7170
s2089,s2414,s6283,s1417,s524,s5104
s2090,s4279,s4024,s2686,s84,s317
s2092,s7373,s5022,s8228,s3131,s6031
s2093,s577,s5954,s6280,s5514,s7128
s2094,s276,s3474,s3981,s2086,s693
s2095,s3459,s5240,s2356,s7969,s872
s2096,s2059,s241,s3118,s2777,s5509
s2097,s3608,s3746,s658,s6735,s1012
s2098,s8480,s3677,s6765,s4962,s7442
s2099,s1895,s2169,s6258,s2815,s6844
s2100,s6663,s6886,s6754,s1769,s804
s2101,s4567,s6888,s5305,s4503,s2588
s2102,s5597,s7409,s2235,s5544,s6118
s2103,s3884,s754,s5089,s888,s1617
s2104,s5754,s3616,s3086,s4524,s2182
s2105,s6891,s4985,s3358,s1903,s3504
s2106,s6511,s2710,s3628,s2637,s155
s2107,s3363,s6385,s6383,s2025,s1632
s2108,s8038,s4360,s3320,s1581,s93
s2109,s1066,s7193,s4474,s3419,s2819
s2110,s4894,s420,s3200,s8513,s6113
s2111,s1948,s872,s8579,s2400,s8363
s2112,s8716,s3642,s4627,s4023,s1445
s2113,s4530,s3722,s4323,s7140,s5953
s2114,s8524,s891,s6521,s682,s6977
s2115,s3391,s7318,s78,s2293,s7320
s2116,s6351,s1514,s6029,s4616,s6967
s2117,s3549,s3152,s3562,s6351,s8014
s2118,s1921,s7597,s173,s8731,s7370
s2119,s939,s6244,s3571,s8525,s8337
s2120,s3939,s7101,s6435,s2244,s8309
s2121,s1248,s7075,s4482,s5338,s5340
s2122,s2063,s644,s2869,s4250,s2917
s2123,s6191,s1767,s2697,s7729,s1473
s2124,s666,s3123,s395,s7540,s1260
s2125,s4105,s1180,s771,s1425,s5562
s2126,s5805,s481,s1570,s8742,s4183
s2127,s8486,s4564,s5248,s3177,s3564
s2128,s3336,s1086,s176,s8094,s8376
s2129,s1487,s4441,s1472,s6293,s8756
s2130,s6244,s8208,s5227,s7532,s1563
s2131,s282,s4538,s5164,s7796,s4425
s2132,s99,s1619,s1152,s1860,s2039
s2133,s4,s5549,s4189,s1853,s1701
s2134,s3668,s8042,s6199,s3894,s7524
s2135,s2712,s1459,s6143,s7138,s2232
s2136,s2520,s5828,s5592,s6786,s7774
s2137,s339,s2920,s2072,s6654,s371
s2138,s344,s2002,s2547,s7164,s460
s2139,s7573,s4617,s4518,s3800,s7598
s2140,s4899,s1598,s6580,s6742,s527
s2141,s214,s1348,s7683,s6044,s7605
s2142,s2180,s8396,s3594,s7257,s2382
s2143,s5524,s181,s1685,s7883,s8186
s2144,s5259,s476,s7666,s6050,s5332
s2145,s5262,s2696,s476,s6765,s4675
s2146,s5857,s5263,s111,s1810,s1041
s2147,s1189,s2890,s6132,s1182,s1355
s2148,s1722,s3670,s8393,s1527,s8034
s2149,s2608,s7450,s4458,s2068,s7594
s2150,s6154,s1788,s920,s84,s5697
s2151,s6123,s6286,s2856,s7642,s5487
s2152,s743,s6708,s3863,s2521,s4671
s2153,s8711,s4533,s7005,s4001,s7188
s2154,s2213,s1995,s3013,s658,s7460
s2155,s6199,s1305,s7302,s5597,s7210
s2156,s869,s1816,s1491,s4931,s72
s2157,s6095,s2984,s6813,s7569,s7573
s2158,s5675,s3668,s566,s433,s35
s2159,s1246,s4641,s4857,s5157,s264
s2160,s1580,s5980,s3627,s5576,s2435
s2161,s8456,s6869,s7725,s6240,s5937
s2162,s5656,s6476,s7663,s3574,s7561
s2163,s2284,s8265,s805,s5004,s7921
s2164,s8135,s4550,s3112,s1162,s1249
s2165,s7591,s6581,s4034,s3152,s799
s2166,s7156,s6696,s7527,s8566,s5463
s2167,s1893,s2580,s1636,s255,s24
s2168,s3780,s3830,s131,s5199,s929
s2169,s2099,s5631,s8713,s4408,s4866
s2170,s5050,s4241,s4323,s7122,s4240
s2171,s5972,s900,s7077,s2259,s6476
s2172,s7807,s1819,s3433,s692,s686
s2173,s8221,s1849,s8116,s3512,s2504
s2174,s1923,s1039,s3898,s2881,s3722
s2175,s3389,s1105,s1452,s311,s5360
s2176,s7536,s4828,s6762,s2066,s7029
s2177,s722,s2763,s3936,s5492,s8334
s2178,s3585,s3230,s3910,s1872,s1582
s2179,s5073,s4424,s2435,s914,s6992
s2180,s2992,s2387,s8797,s7246,s2142
s2181,s1706,s8090,s7549,s6771,s5416
s2182,s4635,s4058,s1483,s3780,s2193
s2183,s1536,s4871,s3851,s683,s1288
s2184,s6300,s4961,s1205,s543,s1603
s2185,s5391,s2823,s5039,s7545,s202
s2186,s2584,s5435,s6869,s2525,s1813
s2187,s1442,s3627,s4618,s3300,s503
s2188,s784,s5772,s7018,s1617,s3015
s2189,s1642,s2190,s2376,s7015,s3418
s2190,s2189,s1642,s1159,s281,s794
s2191,s1067,s836,s2942,s4919,s4755
s2192,s6961,s7431,s2229,s6367,s5122
s2193,s1483,s4652,s377,s4635,s4653
s2194,s8241,s40,s878,s261,s5430
s2195,s3417,s6000,s404,s4988,s3433
s2196,s5531,s1219,s2694,s5213,s395
s2197,s6737,s247,s8018,s4879,s8039
s2198,s2246,s6968,s3460,s316,s4819
s2199,s1835,s4810,s3015,s7913,s469
s2200,s7368,s8642,s1281,s732,s8511
s2201,s4734,s5681,s5081,s2232,s3112
s2202,s6526,s4665,s1160,s6804,s7887
s2203,s1678,s7537,s3752,s8101,s7916
s2204,s426,s2675,s4450,s3670,s2717
s2205,s5443,s1205,s381,s5394,s1908
s2206,s571,s5140,s1012,s7538,s1386
s2207,s247,s4592,s2044,s4153,s4619
s2208,s8192,s936,s566,s6110,s5459
s2209,s2764,s2938,s1656,s2599,s7864
s2210,s3431,s7086,s7549,s8232,s3788
s2211,s8284,s4478,s2966,s5956,s8798
s2212,s4196,s4195,s8222,s2605,s7968
s2213,s2154,s1995,s3379,s264,s2331
s2214,s285,s4869,s5045,s8790,s2231
s2215,s2397,s330,s8356,s702,s5226
s2216,s4056,s54,s523,s338,s6484
s2217,s2446,s403,s829,s6127,s7276
s2218,s5958,s11,s289,s8716,s5322
s2219,s8677,s1588,s907,s6405,s3687
s2220,s6821,s4962,s7040,s1046,s7511
s2221,s5842,s3388,s5875,s5874,s5387
s2222,s73,s5205,s3158,s7208,s7111
s2223,s5113,s1534,s843,s3893,s2894
s2224,s3544,s5371,s5481,s8756,s8519
s2225,s5271,s244,s5447,s1598,s5829
s2226,s124,s2418,s8487,s888,s734
s2227,s2437,s2395,s4069,s6129,s5390
s2228,s374,s1107,s6187,s2951,s5555
s2229,s137,s7358,s2192,s6721,s1466
s2230,s7822,s6043,s7933,s7620,s4478
s2231,s4869,s285,s2214,s8575,s7702
s2232,s2135,s905,s5259,s8057,s466
s2233,s2579,s7702,s1679,s3735,s7483
s2234,s4921,s7529,s1349,s1415,s3285
s2235,s4273,s8592,s2061,s2102,s5544
s2236,s3099,s7843,s2674,s3997,s5965
s2237,s2293,s3226,s78,s7320,s862
s2238,s5804,s8032,s8030,s2326,s6365
s2239,s1620,s7393,s1761,s7458,s8597
s2240,s4794,s6224,s8018,s4443,s4901
s2242,s6652,s5526,s142,s6078,s5639
s2244,s1691,s7017,s1012,s8309,s1961
s2245,s1527,s8579,s6960,s6549,s6611
s2246,s2395,s5411,s2198,s7363,s2828
s2247,s1364,s7011,s8136,s6746,s2467
s2248,s3888,s4412,s1442,s4445,s6264
s2249,s2300,s2356,s1401,s4767,s8373
s2250,s3655,s2928,s3443,s1592,s72
s2251,s571,s836,s1352,s1902,s40
s2252,s3617,s7239,s1089,s3857,s7798
s2253,s3644,s8370,s5935,s7020,s3474
s2254,s6808,s7220,s1273,s2978,s3972
s2255,s2068,s5140,s6654,s6327,s3171
s2256,s2448,s2428,s2921,s4201,s1076
s2257,s6529,s7961,s8109,s6476,s7125
s2258,s3261,s1469,s3700,s8526,s4009
s2259,s900,s4686,s2171,s3123,s8268
s2260,s2573,s7479,s2969,s3217,s8690
s2261,s6641,s6640,s2017,s168,s2909
s2262,s3621,s5836,s4775,s5817,s5818
s2263,s5143,s253,s1572,s8263,s1223
s2264,s3425,s1875,s3286,s3926,s2034
s2265,s3344,s8137,s2664,s4840,s3606
s2266,s8268,s7826,s2281,s8169,s1895
s2267,s5383,s2547,s7186,s1990,s5827
s2269,s164,s1688,s1186,s6294,s8219
s2270,s7515,s1867,s4456,s5758,s588
s2271,s6450,s8493,s8016,s8325,s7568
s2272,s2874,s2841,s8009,s4972,s6177
s2273,s1195,s1282,s3330,s8653,s7804
s2274,s7798,s6094,s1946,s6554,s7985
s2275,s8217,s8216,s6064,s416,s4581
s2276,s3787,s539,s7521,s2640,s7190
s2278,s1001,s6571,s6809,s4061,s363
s2279,s6301,s4215,s5427,s6280,s641
s2280,s6535,s8744,s5573,s5987,s2627
s2281,s7826,s5719,s4562,s210,s8268
s2282,s6158,s303,s6862,s6860,s3666
s2283,s8268,s3037,s5303,s5810,s2597
s2284,s2163,s3269,s5745,s3019,s805
s2285,s5218,s7040,s4811,s1439,s1331
s2286,s2902,s4096,s4046,s3980,s2135
s2287,s7806,s6229,s5575,s8201,s7807
s2288,s2640,s478,s2324,s3844,s123
s2289,s719,s1943,s6233,s2634,s8014
s2290,s7964,s5702,s3119,s8229,s2425
s2291,s3632,s3565,s6067,s4798,s1678
s2292,s192,s102,s1606,s7189,s112
s2293,s78,s7320,s2115,s862,s3226
s2294,s4733,s6207,s4197,s4266,s5076
s2295,s8089,s5810,s1603,s734,s7522
s2296,s2743,s339,s8058,s4390,s2461
s2297,s2945,s4852,s7149,s7413,s89
s2298,s366,s8567,s8101,s6968,s2706
s2299,s1114,s6999,s7570,s916,s1865
s2300,s2249,s1688,s1270,s4852,s541
s2301,s923,s481,s303,s5550,s4444
s2302,s2384,s976,s8748,s5815,s2190
s2303,s5029,s6062,s7878,s878,s1440
s2304,s6911,s1911,s6921,s5059,s1433
s2305,s143,s868,s3048,s775,s1100
s2306,s6002,s5960,s6001,s1479,s5005
s2307,s1252,s7077,s6861,s6185,s6999
s2308,s2349,s1051,s2683,s4362,s8788
s2309,s5736,s6695,s1220,s8152,s3633
s2310,s4528,s4493,s164,s3281,s4884
s2311,s8289,s4958,s2854,s1814,s5886
s2312,s7906,s5295,s3909,s1815,s1166
s2313,s3433,s7537,s3475,s6056,s5648
s2314,s8771,s7409,s6456,s4913,s6619
s2315,s3855,s8395,s4198,s8055,s5699
s2316,s4412,s8245,s3315,s7199,s824
s2317,s3180,s3907,s4836,s3931,s8404
s2318,s8078,s4180,s1903,s3112,s553
s2319,s2081,s8394,s3851,s248,s133
s2320,s3867,s2987,s5764,s5349,s2780
s2321,s4959,s3161,s1453,s7458,s6222
s2322,s6838,s4299,s569,s5945,s7486
s2323,s5888,s5196,s1332,s5555,s4251
s2324,s3844,s8223,s7623,s2288,s2978
s2325,s2482,s2904,s794,s3083,s7248
s2326,s1354,s1156,s2238,s8030,s8032
s2327,s8174,s2337,s8433,s7451,s2017
s2328,s4254,s2875,s4630,s5494,s1035
s2329,s4037,s2002,s7700,s6583,s6110
s2330,s1182,s27,s8232,s3788,s4932
s2331,s6710,s6258,s5674,s1243,s2213
s2332,s1689,s8084,s8067,s998,s7070
s2333,s3900,s3115,s8201,s3889,s2229
s2334,s4932,s1971,s8536,s7706,s2488
s2335,s6025,s2336,s92,s5337,s4444
s2336,s6025,s2335,s92,s4444,s4328
s2337,s8174,s2327,s8433,s114,s5338
s2338,s8631,s5387,s4101,s5674,s1527
s2339,s1898,s4059,s3303,s7236,s5838
s2340,s4432,s1584,s7796,s4425,s7715
s2341,s4840,s822,s8137,s7305,s258
s2342,s4106,s8593,s1646,s5740,s680
s2343,s8640,s2825,s7895,s2475,s8152
s2344,s8244,s2223,s4090,s6774,s1959
s2345,s636,s2896,s6469,s257,s8596
s2346,s4541,s4,s8494,s576,s337
s2347,s5782,s610,s7153,s4760,s2482
s2348,s8572,s7080,s5648,s4582,s878
s2349,s6891,s4814,s8316,s8788,s122
s2350,s7107,s5248,s2881,s3857,s2751
s2351,s1803,s7299,s1397,s6689,s8536
s2352,s5332,s2627,s1688,s2535,s6018
s2353,s8208,s6316,s998,s7070,s6659
s2354,s1598,s4594,s7172,s5600,s7481
s2355,s6086,s3744,s3687,s4861,s6085
s2356,s1799,s2095,s2249,s7660,s3744
s2357,s1559,s4333,s5747,s3899,s2644
s2358,s919,s5739,s1145,s1219,s3858
s2359,s4997,s7734,s911,s2375,s7479
s2360,s2738,s5806,s2410,s6489,s5590
s2361,s3275,s1648,s2636,s8613,s7927
s2362,s724,s6865,s4938,s3474,s2489
s2363,s8188,s2518,s2602,s4266,s8464
s2364,s8672,s1817,s6172,s2401,s1640
s2365,s1188,s5660,s6640,s2848,s1708
s2366,s2581,s2367,s3873,s5367,s1332
s2367,s2366,s6353,s3179,s4594,s1469
s2368,s7021,s3768,s6642,s3216,s7111
s2369,s7850,s2436,s3094,s6132,s2640
s2370,s5058,s1941,s3771,s3844,s1341
s2371,s5105,s3682,s3749,s7519,s4214
s2372,s7158,s5887,s4415,s2095,s7474
s2373,s4053,s1039,s3294,s3743,s5259
s2374,s7783,s2992,s6801,s3598,s7836
s2375,s2359,s2020,s1830,s1818,s6047
s2376,s2189,s1642,s3393,s1822,s3215
s2377,s7663,s1622,s3973,s1022,s1378
s2378,s7950,s5259,s7269,s6136,s7114
s2379,s2068,s5081,s8304,s611,s2255
s2380,s953,s1354,s7105,s4027,s7846
s2381,s6859,s2995,s1355,s4385,s2048
s2382,s93,s7282,s7618,s115,s427
s2383,s3384,s6891,s98,s6367,s4221
s2384,s2302,s8748,s976,s1643,s6265
s2385,s548,s6090,s4483,s3734,s2633
s2386,s1383,s2941,s1142,s5974,s603
s2387,s8112,s7900,s2180,s7537,s2536
s2388,s8178,s2429,s3981,s276,s6016
s2389,s7705,s3315,s1658,s2482,s353
s2390,s6191,s3335,s8626,s8672,s4623
s2391,s7175,s1063,s2722,s7794,s6043
s2392,s2532,s2533,s7349,s6479,s3285
s2393,s8557,s8800,s4562,s3784,s7229
s2394,s2945,s4771,s3800,s8550,s7744
s2395,s2246,s7392,s5751,s3155,s2227
s2396,s6666,s1451,s3452,s1457,s3074
s2397,s330,s5855,s2215,s7866,s5923
s2398,s5558,s3759,s4265,s1594,s3427
s2399,s3556,s5731,s7588,s3433,s7121
s2400,s8457,s7930,s540,s5111,s1464
s2401,s5695,s4622,s2329,s1748,s3714
s2402,s3983,s2697,s464,s7811,s925
s2403,s5484,s7876,s8082,s5056,s1158
s2404,s2878,s7729,s5805,s2980,s369
s2405,s4507,s5994,s3841,s7926,s3987
s2406,s6174,s133,s3361,s4139,s1075
s2407,s687,s6914,s6881,s5798,s8019
s2408,s2422,s1540,s435,s6634,s815
s2409,s7969,s815,s2420,s8158,s3308
s2410,s2738,s6489,s2360,s5590,s5803
s2411,s4665,s7646,s6573,s5847,s4651
s2412,s98,s3950,s378,s6446,s7593
s2413,s1186,s6984,s5767,s7704,s164
s2414,s7214,s245,s6916,s3814,s2089
s2415,s1602,s526,s4250,s4022,s5273
s2416,s8166,s5506,s2871,s5575,s5810
s2417,s26,s7172,s4838,s5403,s1903
s2418,s3562,s3719,s6600,s8487,s8014
s2419,s3867,s484,s3231,s5346,s8094
s2420,s7969,s3686,s4734,s6376,s4322
s2421,s1360,s1853,s6194,s6693,s592
s2422,s508,s314,s2408,s1540,s2232
s2423,s3343,s7369,s527,s6764,s4846
s2424,s237,s1232,s238,s240,s239
s2425,s6143,s4843,s4674,s7138,s6013
s2426,s6120,s2921,s7916,s570,s2230
s2427,s7411,s520,s3805,s5842,s8336
s2428,s5550,s763,s2256,s4563,s2749
s2429,s3981,s2388,s8261,s505,s4475
s2430,s6337,s2717,s3960,s3611,s8576
s2431,s3369,s3838,s1317,s3844,s478
s2432,s6833,s6433,s7894,s3076,s2075
s2433,s3527,s670,s2658,s1709,s3857
s2434,s2524,s4214,s4174,s5295,s3749
s2435,s1900,s4423,s7046,s2179,s2809
s2436,s5466,s7464,s7388,s2369,s8642
s2437,s1383,s2227,s5388,s1925,s7838
s2438,s2068,s7688,s2379,s5552,s7584
s2439,s1299,s2844,s364,s2705,s2529
s2440,s3299,s352,s7336,s2719,s5573
s2441,s3554,s4832,s1153,s589,s4146
s2442,s8728,s6296,s5668,s3310,s7707
s2443,s8343,s3979,s4714,s3738,s2437
s2444,s687,s1598,s3362,s1178,s2682
s2445,s3850,s7291,s3538,s7964,s1060
s2446,s1143,s2217,s3714,s746,s2597
s2447,s313,s6533,s6689,s886,s5402
s2448,s2256,s734,s4201,s3641,s857
s2449,s8036,s6735,s5538,s5092,s4687
s2450,s8720,s5696,s183,s4961,s5427
s2451,s525,s746,s128,s6457,s6112
s2452,s2484,s3770,s2061,s498,s1617
s2453,s30,s3466,s2068,s3073,s2050
s2454,s6231,s570,s897,s5594,s5599
s2455,s621,s6261,s6840,s3184,s1592
s2456,s3673,s5597,s2289,s6621,s2077
s2457,s6992,s1139,s914,s5980,s769
s2458,s7286,s2689,s3913,s8480,s2332
s2459,s4606,s3623,s4194,s3513,s6781
s2460,s5651,s72,s2250,s560,s1408
s2461,s7423,s617,s2296,s4911,s8450
s2462,s7510,s6009,s1896,s8707,s5249
s2463,s6643,s961,s7373,s8310,s2252
s2464,s2465,s7278,s2996,s7732,s2005
s2465,s2464,s7278,s137,s7732,s655
s2466,s3008,s6566,s164,s7336,s4120
s2467,s5903,s1896,s7953,s2324,s2247
s2468,s5994,s3406,s186,s3785,s1918
s2469,s1472,s4973,s5742,s6700,s3253
s2470,s6605,s7829,s5059,s2582,s697
s2471,s3599,s8129,s2255,s7919,s373
s2472,s7998,s6735,s2887,s5958,s131
s2473,s1834,s6654,s3474,s1842,s3408
s2474,s4327,s7053,s567,s7360,s6448
s2475,s1055,s8572,s3969,s6502,s3112
s2476,s535,s2559,s3564,s5500,s4644
s2477,s6977,s5839,s1913,s2812,s4401
s2478,s5422,s1248,s7995,s1067,s12
s2479,s5888,s1283,s7865,s6743,s4852
s2480,s1803,s4288,s1183,s4365,s6121
s2481,s4965,s5019,s5742,s5156,s5018
s2482,s3315,s7522,s2881,s7153,s2325
s2483,s8233,s2889,s7659,s3111,s7759
s2484,s7811,s5514,s1175,s8303,s6020
s2485,s8608,s1607,s2428,s4564,s5368
s2487,s5266,s6457,s5533,s2960,s5062
s2488,s4079,s1971,s5487,s2334,s5102
s2489,s6000,s2823,s3687,s617,s70
s2490,s7985,s5229,s1285,s2634,s4035
s2491,s1908,s4048,s6108,s7065,s4161
s2492,s3315,s2644,s3285,s2689,s5961
s2493,s5923,s5254,s7116,s8325,s3561
s2494,s7895,s8544,s2198,s322,s946
s2495,s1357,s6282,s781,s7800,s2593
s2496,s5225,s3260,s1644,s2266,s5744
s2497,s7579,s4848,s7759,s2973,s2706
s2498,s8377,s7797,s5547,s1379,s32
s2499,s5649,s7651,s2507,s428,s7531
s2500,s5782,s3227,s3512,s5956,s5736
s2501,s642,s3450,s344,s3565,s8452
s2502,s5363,s3565,s3994,s3049,s819
s2503,s7083,s297,s3535,s6587,s423
s2504,s4067,s5778,s3510,s3049,s3955
s2505,s2634,s5401,s5027,s6793,s4792
s2506,s636,s2699,s6247,s2504,s1380
s2507,s7651,s2534,s428,s2499,s4719
s2508,s5214,s6020,s7097,s3403,s1989
s2509,s6719,s5725,s7944,s48,s8258
s2510,s5142,s164,s4021,s7351,s1859
s2511,s4023,s2685,s7239,s5325,s6589
s2512,s8011,s1520,s5763,s117,s6654
s2513,s1675,s3474,s5436,s6247,s822
s2514,s29,s4125,s2706,s1810,s4614
s2515,s3281,s5670,s10,s4493,s3906
s2516,s5476,s7401,s2979,s5021,s4358
s2517,s5325,s2798,s7329,s7761,s5870
s2518,s8257,s7536,s8726,s2363,s3315
s2519,s3847,s1150,s6687,s572,s7080
s2520,s2136,s2702,s3586,s4863,s560
s2521,s3253,s6856,s2649,s6300,s2152
s2522,s8407,s1892,s4589,s386,s2722
s2523,s7719,s8543,s5773,s3699,s1161
s2524,s6441,s7076,s436,s2647,s5163
s2525,s1164,s3708,s5856,s5435,s2785
s2526,s4652,s72,s3980,s5305,s5651
s2527,s2228,s4745,s2920,s7158,s2701
s2528,s4410,s3358,s3168,s5463,s3633
s2529,s4698,s6955,s7105,s1946,s8523
s2530,s3456,s5102,s6611,s3540,s3394
s2531,s8734,s5314,s4372,s1118,s3079
s2532,s2392,s2533,s7568,s804,s1238
s2533,s2532,s2392,s3625,s3197,s3826
s2534,s2507,s3550,s7095,s6829,s6526
s2535,s6695,s7833,s2428,s2035,s3617
s2536,s5486,s7857,s3503,s6758,s5396
s2537,s8013,s1621,s227,s6045,s2969
s2539,s4525,s340,s1598,s4419,s3015
s2540,s4715,s2633,s248,s3400,s5428
s2541,s3909,s5751,s7392,s327,s5602
s2542,s3797,s1420,s5621,s4625,s7916
s2543,s3407,s2048,s5871,s3678,s4525
s2544,s4845,s3169,s1305,s76,s4657
s2545,s864,s7205,s2442,s4028,s8761
s2546,s2511,s6241,s4611,s4812,s6107
s2547,s4120,s6742,s2267,s2138,s6249
s2548,s1787,s1548,s7267,s763,s1272
s2549,s3015,s6142,s1843,s5766,s5419
s2550,s1405,s5160,s1965,s4937,s6881
s2551,s7895,s152,s2067,s7599,s5199
s2552,s7906,s297,s5446,s3334,s8396
s2553,s2423,s2562,s3490,s3327,s6857
s2554,s2669,s1877,s270,s8158,s3723
s2555,s8346,s5892,s6553,s869,s7168
s2556,s2848,s1904,s438,s3303,s3643
s2557,s1045,s4973,s3099,s5317,s7834
s2558,s3738,s465,s3880,s803,s7442
s2559,s2476,s535,s7469,s8155,s2491
s2560,s3536,s4847,s3161,s1936,s7262
s2561,s8078,s6053,s7452,s1216,s7635
s2562,s5269,s5180,s5714,s5057,s8603
s2563,s6811,s6954,s1500,s4617,s1545
s2564,s3304,s3065,s2849,s6411,s2167
s2565,s6532,s49,s7336,s166,s6539
s2566,s5063,s4061,s1097,s2112,s7100
s2567,s137,s811,s5968,s1141,s2464
s2568,s1438,s1067,s2597,s6713,s8750
s2569,s8290,s5802,s5804,s321,s8560
s2570,s6999,s648,s4184,s4447,s2542
s2571,s1310,s7652,s2820,s4178,s2431
s2572,s3229,s5587,s3241,s5590,s4185
s2573,s148,s7050,s4037,s1622,s2260
s2574,s1749,s2995,s6089,s6265,s2381
s2575,s8713,s7572,s7575,s7573,s8605
s2576,s5367,s3295,s1249,s7013,s6860
s2577,s5513,s8468,s4843,s634,s6729
s2578,s4095,s2317,s2144,s6050,s5210
s2579,s2233,s254,s4981,s7595,s1649
s2580,s24,s1893,s255,s1636,s2167
s2581,s5555,s4486,s2366,s4689,s2038
s2582,s7829,s5059,s342,s7870,s5362
s2583,s2997,s936,s4834,s5225,s1894
s2584,s5871,s5770,s6869,s2927,s7393
s2585,s6549,s476,s8628,s5122,s5101
s2586,s7386,s3157,s3055,s5807,s6382
s2587,s8704,s4439,s6271,s2283,s1863
s2588,s5104,s2824,s5325,s2838,s1417
s2589,s2169,s6812,s4870,s7748,s3747
s2590,s7441,s4288,s92,s1417,s4682
s2591,s5350,s3877,s2078,s8587,s6314
s2592,s1310,s4658,s1849,s8073,s2053
s2593,s3140,s570,s781,s1357,s6282
s2594,s2595,s2081,s2815,s2596,s5436
s2595,s2594,s2081,s2596,s2813,s2812
s2596,s2081,s2594,s2595,s3181,s2812
s2597,s5136,s2283,s3037,s744,s7344
s2598,s5058,s6653,s7822,s3335,s5406
s2599,s7864,s2209,s4290,s2764,s3675
s2600,s1350,s5069,s7341,s7693,s6674
s2601,s1779,s1059,s2936,s1573,s221
s2602,s4835,s1292,s2363,s531,s3192
s2603,s3433,s2909,s4514,s8273,s3227
s2604,s2825,s4440,s2838,s8002,s8684
s2605,s1076,s3260,s2212,s7968,s7349
s2606,s7219,s8419,s3258,s2961,s1484
s2607,s3334,s1327,s1972,s2492,s4808
s2608,s2149,s7792,s7286,s258,s5732
s2609,s6476,s4492,s4821,s5024,s3897
s2610,s1318,s4090,s3909,s2447,s886
s2611,s6873,s1826,s439,s547,s1847
s2612,s8497,s7808,s2435,s8575,s72
s2613,s6873,s3736,s8000,s7986,s4404
s2614,s4662,s2075,s7653,s8783,s3769
s2615,s355,s7925,s5847,s6526,s5534
s2616,s104,s6027,s872,s8579,s6074
s2617,s1826,s1382,s5728,s1941,s79
