show_id,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
s307,s3526,s3714,s1900,s8101,s1934
s308,s1119,s5089,s6300,s1516,s4125
s309,s2311,s5886,s8289,s5611,s2854
s310,s3478,s1311,s6773,s3929,s2107
s311,s3984,s5823,s382,s7156,s6213
s312,s3315,s7536,s5840,s4280,s2492
s313,s2447,s7365,s6533,s189,s4088
s314,s3626,s2422,s5838,s6664,s6990
s315,s7075,s6952,s7605,s8676,s2323
s316,s900,s621,s2823,s2925,s138
s317,s5610,s8443,s5466,s3467,s774
s318,s1691,s1698,s6375,s7946,s4523
s319,s386,s879,s7368,s2977,s5211
s320,s8467,s2775,s2256,s8242,s6874
s321,s8657,s6056,s8372,s2569,s7350
s322,s6290,s3928,s7544,s470,s2632
s323,s4719,s7666,s5764,s8261,s7183
s324,s3462,s6050,s8012,s4870,s3166
s325,s7381,s756,s3521,s3146,s1620
s326,s327,s5189,s2081,s5747,s4022
s327,s326,s2541,s1634,s1546,s5390
s328,s4482,s2599,s7540,s7864,s5808
s329,s7639,s8241,s4288,s8346,s8603
s330,s7149,s5855,s2397,s189,s3228
s331,s1695,s5001,s8265,s7614,s6294
s332,s8077,s601,s396,s1012,s3571
s333,s7998,s7999,s5576,s6954,s2001
s334,s426,s5847,s1083,s353,s594
s335,s3292,s3730,s5199,s687,s1278
s336,s6325,s7744,s1371,s3642,s2945
s337,s6804,s7494,s3628,s6825,s5454
s338,s6484,s8214,s8225,s38,s2216
s339,s280,s8220,s2972,s2137,s4060
s340,s4036,s1575,s2256,s4823,s4206
s341,s6305,s1940,s1360,s5466,s4376
s342,s2582,s7837,s660,s8702,s1735
s343,s7405,s8708,s161,s84,s642
s344,s2138,s3844,s8226,s484,s7540
s345,s1460,s972,s6094,s804,s518
s346,s3443,s3324,s5770,s4567,s2657
s347,s151,s6925,s387,s5106,s3553
s348,s7748,s6785,s1495,s3939,s1102
s349,s6771,s3273,s4049,s4206,s1690
s350,s3224,s6975,s4037,s3159,s3864
s351,s5497,s7329,s438,s6867,s3970
s352,s3990,s3086,s2440,s8309,s6536
s353,s1603,s4869,s5170,s518,s3315
s354,s1276,s8079,s8650,s4519,s8212
s355,s8403,s3317,s8555,s8402,s1878
s356,s7309,s5946,s250,s507,s2722
s357,s6587,s6635,s5683,s5651,s3535
s358,s2924,s1416,s4378,s1241,s6447
s359,s271,s3202,s8321,s8221,s8128
s360,s3646,s476,s4675,s3022,s5379
s361,s3294,s7811,s4138,s1083,s4892
s362,s8029,s5664,s3863,s4156,s2741
s363,s7459,s6753,s5676,s4888,s2009
s364,s1360,s6593,s1299,s8420,s5188
s365,s8697,s5737,s1552,s86,s4037
s366,s2698,s2706,s1360,s2298,s7138
s367,s1384,s643,s84,s8598,s1835
s368,s3008,s2605,s7063,s4645,s6332
s369,s2404,s2878,s3907,s5805,s8209
s370,s918,s826,s94,s6894,s4951
s371,s4189,s6320,s8019,s8263,s4031
s372,s2677,s7691,s630,s1815,s2462
s373,s691,s7907,s2750,s764,s803
s374,s2228,s559,s5892,s5692,s1836
s375,s1122,s7537,s6456,s3665,s7417
s376,s4429,s8094,s8484,s4362,s2061
s377,s2193,s1483,s7140,s2041,s2822
s378,s5295,s7593,s2412,s5547,s8109
s379,s8565,s8112,s7751,s1668,s4568
s380,s1616,s7548,s8321,s6063,s4001
s381,s5443,s2205,s1049,s165,s2773
s382,s311,s5823,s135,s3968,s4717
s383,s1354,s219,s1331,s138,s621
s384,s3869,s2782,s8273,s6599,s7537
s385,s1868,s7010,s1617,s2775,s1937
s386,s319,s4145,s1919,s5521,s2522
s387,s1589,s2738,s8462,s5747,s302
s388,s1047,s6791,s502,s8799,s8119
s389,s3448,s496,s8737,s4739,s4927
s390,s3535,s7083,s4912,s4777,s8268
s391,s7088,s4944,s8694,s6962,s697
s392,s8765,s5928,s1335,s8743,s133
s393,s8220,s339,s7905,s7762,s580
s394,s4771,s6730,s6979,s7654,s806
s395,s7511,s2925,s1957,s7744,s5714
s396,s3095,s1672,s6069,s4199,s332
s397,s93,s3056,s6327,s1803,s2382
s398,s5888,s694,s6703,s1942,s1283
s399,s2822,s3554,s2629,s781,s7596
s400,s401,s41,s8546,s8463,s6643
s401,s400,s41,s8463,s8546,s8029
s403,s123,s8036,s8487,s2217,s6154
s404,s1628,s4802,s3677,s2195,s6346
s406,s8122,s414,s420,s2718,s419
s407,s420,s416,s413,s8122,s421
s408,s416,s420,s413,s421,s8122
s409,s417,s410,s416,s425,s420
s410,s417,s416,s409,s425,s2718
s411,s6465,s420,s8122,s414,s6463
s412,s8122,s420,s419,s6465,s416
s413,s420,s6465,s416,s6463,s421
s414,s8122,s6465,s420,s6462,s423
s415,s420,s416,s419,s8122,s6464
s416,s6462,s417,s420,s413,s410
s417,s416,s409,s410,s425,s420
s418,s8122,s40,s420,s6463,s413
s419,s2718,s413,s6465,s420,s6463
s420,s413,s8122,s416,s6463,s423
s421,s416,s420,s413,s8122,s407
s422,s8122,s6465,s420,s414,s6463
s423,s420,s6463,s8122,s414,s6465
s424,s3057,s39,s7411,s8122,s420
s425,s409,s417,s416,s8122,s410
s426,s7622,s32,s3867,s1843,s2204
s427,s5868,s6637,s2892,s1811,s5405
s428,s2507,s2499,s3140,s7651,s746
s429,s8055,s2026,s1942,s1779,s5674
s430,s3527,s6380,s8523,s7587,s3595
s433,s4853,s2158,s3668,s779,s2012
s435,s8364,s1251,s6047,s5552,s4888
s436,s2524,s7374,s388,s1161,s5228
s437,s2330,s3890,s3841,s3475,s2078
s438,s98,s351,s3643,s2556,s6779
s439,s6748,s6611,s4585,s507,s8115
s440,s6508,s4355,s3642,s3026,s4279
s441,s4229,s5705,s4416,s3528,s922
s442,s551,s480,s6600,s3809,s3238
s443,s830,s5778,s3708,s5732,s1373
s444,s2961,s8419,s2034,s2787,s5254
s445,s1489,s3185,s1042,s1156,s8110
s447,s1405,s182,s1333,s7973,s7815
s448,s449,s450,s451,s452,s3317
s449,s448,s450,s451,s452,s3317
s450,s451,s452,s448,s449,s2745
s451,s450,s452,s448,s449,s2745
s452,s451,s450,s448,s449,s3317
s453,s6764,s7345,s6824,s5455,s6877
s454,s482,s6222,s7458,s8715,s2566
s455,s2541,s4894,s1553,s3233,s7414
s456,s1578,s3605,s2901,s6208,s4259
s457,s4155,s1280,s6005,s699,s906
s458,s6412,s5059,s992,s2769,s737
s459,s1712,s5783,s5550,s2172,s2195
s460,s1460,s3615,s2283,s6047,s8796
s461,s8060,s8535,s2779,s1090,s3574
s462,s5334,s4863,s6344,s2741,s988
s463,s2581,s3235,s4183,s5555,s2013
s464,s1899,s1066,s3640,s2402,s2819
s465,s8018,s8468,s8232,s803,s2558
s466,s2135,s8782,s1804,s8468,s2232
s467,s5210,s2778,s534,s8242,s2777
s468,s2787,s2982,s4304,s1269,s1348
s469,s3969,s3469,s2566,s2199,s2953
s470,s7544,s7863,s322,s872,s8579
s472,s3053,s3250,s7554,s215,s4616
s473,s6336,s8016,s7074,s8620,s47
s474,s1012,s1444,s3571,s3569,s3570
s475,s6563,s4771,s7268,s4921,s7153
s476,s4675,s7666,s4129,s2979,s7813
s477,s2058,s4243,s3713,s3437,s5705
s478,s26,s5680,s2288,s2417,s8704
s479,s6147,s4351,s1968,s5802,s8521
s480,s551,s442,s3304,s6411,s2167
s481,s2126,s4444,s2301,s1747,s3464
s482,s1627,s454,s6222,s5645,s1049
s483,s4656,s1659,s5322,s7745,s3341
s484,s3867,s3681,s2419,s2983,s344
s485,s5387,s1095,s6961,s1353,s1810
s486,s4803,s5904,s7826,s4206,s386
s487,s1604,s7768,s1667,s847,s1958
s488,s313,s1632,s7708,s956,s3837
s489,s8490,s4873,s8702,s887,s888
s490,s8532,s6791,s8425,s5357,s2116
s491,s719,s6158,s3236,s179,s2246
s492,s6009,s1466,s4755,s4123,s2821
s493,s5249,s746,s898,s842,s2451
s494,s8733,s511,s47,s7858,s1223
s495,s3576,s6721,s8186,s8012,s1770
s496,s389,s149,s2049,s6748,s5857
s497,s544,s6337,s6532,s1767,s5545
s498,s596,s6435,s5973,s2963,s1464
s499,s3969,s3311,s5119,s4152,s8766
s500,s5762,s6434,s6117,s4317,s1334
s501,s7833,s8033,s2535,s8104,s513
s502,s1721,s7047,s388,s4883,s693
s503,s306,s3950,s1317,s2640,s6718
s505,s6288,s5089,s7010,s3072,s4025
s506,s7801,s5741,s6226,s4302,s4301
s507,s6329,s439,s1851,s1603,s29
s508,s2422,s7187,s2686,s3202,s6128
s509,s4031,s5652,s4060,s5221,s6244
s510,s72,s5102,s5760,s8472,s2984
s511,s7637,s3741,s2280,s494,s6176
s512,s5872,s6564,s3519,s5925,s1027
s513,s8251,s3856,s1853,s2028,s4623
s514,s8775,s4067,s7329,s3425,s7582
s515,s4912,s5144,s7818,s1404,s1641
s516,s1640,s3315,s1141,s3467,s2695
s517,s2964,s4410,s14,s7822,s7927
s518,s3315,s3627,s8726,s6878,s5685
s519,s3911,s3754,s1469,s3433,s2671
s520,s7843,s6048,s2427,s6008,s2224
s521,s4546,s4870,s5756,s4221,s3166
s522,s3053,s5041,s6882,s8408,s4748
s523,s4056,s2216,s3450,s4830,s8807
s524,s5987,s1417,s1644,s5104,s8734
s525,s2451,s128,s775,s6112,s746
s526,s7542,s4591,s5774,s4365,s4590
s527,s3601,s6580,s6322,s4846,s2423
s528,s8012,s3146,s6238,s5040,s173
s529,s6880,s2949,s1768,s3841,s5839
s530,s5987,s5986,s5295,s3920,s2772
s531,s8294,s2602,s323,s4290,s5737
s532,s2373,s4267,s8099,s4712,s959
